boy0 -1 6 5383 4 16 2
boy1 -1 7 3777 3 15 2
boy2 -1 8 4793 4 15 2
boy3 -1 9 5386 2 12 1
boy4 -1 10 5649 5 11 2
boy5 -1 1 3362 3 17 2
boy6 -1 2 5690 1 19 2
boy7 -1 3 4763 4 16 2
boy8 -1 4 3540 1 16 1
boy9 -1 5 3172 3 16 2
boy10 -1 6 4211 2 18 3
boy11 -1 7 3567 3 19 1
boy12 -1 8 3782 3 10 3
boy13 -1 9 4862 3 13 2
boy14 -1 10 3067 3 15 2
boy15 -1 1 3929 5 12 1
boy16 -1 2 5022 3 18 1
boy17 -1 3 5069 5 17 1
boy18 -1 4 4393 4 16 2
boy19 -1 5 5011 2 12 2
boy20 -1 6 5229 5 13 1
boy21 -1 7 5421 2 19 3
boy22 -1 8 4784 5 17 2
boy23 -1 9 5198 4 14 3
boy24 -1 10 5315 1 10 1
boy25 -1 1 3413 4 16 2
boy26 -1 2 3091 2 10 3
boy27 -1 3 3956 2 13 1
boy28 -1 4 4862 3 10 3
boy29 -1 5 4996 2 11 2
boy30 -1 6 4305 1 15 1
boy31 -1 7 5084 5 17 1
boy32 -1 8 5336 2 15 3
boy33 -1 9 4846 2 19 1
boy34 -1 10 3313 4 17 3
boy35 -1 1 5124 5 15 1
boy36 -1 2 3582 3 15 1
boy37 -1 3 4814 5 17 1
boy38 -1 4 3434 5 14 3
boy39 -1 5 5043 4 10 3
boy40 -1 6 4087 3 18 1
boy41 -1 7 3276 2 18 3
boy42 -1 8 3788 4 14 1
boy43 -1 9 5403 4 11 3
boy44 -1 10 4754 5 19 2
boy45 -1 1 4932 3 10 1
boy46 -1 2 4676 2 18 1
boy47 -1 3 3739 5 12 2
boy48 -1 4 3226 2 16 1
boy49 -1 5 5094 5 19 3
boy50 -1 6 3795 1 10 2
boy51 -1 7 3434 5 18 2
boy52 -1 8 3467 3 11 1
boy53 -1 9 4097 3 12 3
boy54 -1 10 4317 3 12 1
boy55 -1 1 3652 3 16 3
boy56 -1 2 3301 2 10 3
boy57 -1 3 4286 2 11 2
boy58 -1 4 5865 1 19 3
boy59 -1 5 4444 5 19 3
boy60 -1 6 5440 1 19 1
boy61 -1 7 5031 2 17 2
boy62 -1 8 5097 3 11 3
boy63 -1 9 5481 2 15 3
boy64 -1 10 5709 5 17 2
boy65 -1 1 3567 3 16 2
boy66 -1 2 3497 3 13 1
boy67 -1 3 5586 2 15 3
boy68 -1 4 4306 2 13 3
boy69 -1 5 5219 5 14 3
boy70 -1 6 4528 4 11 1
boy71 -1 7 5732 3 19 3
boy72 -1 8 4503 4 19 3
boy73 -1 9 3270 1 18 1
boy74 -1 10 4708 4 15 3
boy75 -1 1 3340 1 19 1
boy76 -1 2 5796 2 13 3
boy77 -1 3 5618 4 15 2
boy78 -1 4 5846 2 11 1
boy79 -1 5 4921 2 15 3
boy80 -1 6 4379 5 18 2
boy81 -1 7 3764 5 18 3
boy82 -1 8 3841 2 10 3
boy83 -1 9 3193 4 10 2
boy84 -1 10 4034 5 14 2
boy85 -1 1 5124 5 14 2
boy86 -1 2 5987 3 16 3
boy87 -1 3 4743 4 11 1
boy88 -1 4 3227 3 15 2
boy89 -1 5 5859 5 16 2
boy90 -1 6 4432 3 11 3
boy91 -1 7 3437 3 18 2
boy92 -1 8 3275 1 17 3
boy93 -1 9 3474 5 11 2
boy94 -1 10 5858 4 15 2
boy95 -1 1 3029 5 17 2
boy96 -1 2 5235 1 13 2
boy97 -1 3 3818 4 18 3
boy98 -1 4 4143 4 11 1
boy99 -1 5 5928 4 19 1
