383 286 2
377 215 1
393 235 3
386 292 2
349 221 1
362 227 3
390 259 3
363 226 3
340 226 1
372 236 2
311 268 3
367 229 1
382 230 3
362 223 3
367 235 2
329 202 3
322 258 1
369 267 3
393 256 2
311 242 2
329 273 1
321 219 1
384 237 3
398 224 3
315 270 3
313 226 3
391 280 2
356 273 3
362 270 3
396 281 2
305 225 1
384 227 3
336 205 3
346 229 2
313 257 2
324 295 1
382 245 1
314 267 3
334 264 3
343 250 1
387 208 2
376 278 1
388 284 3
303 251 1
354 299 3
332 260 1
376 268 3
339 212 2
326 286 2
394 239 1
395 270 1
334 278 3
367 201 3
397 202 3
317 292 1
352 256 2
301 280 2
386 241 3
365 289 1
344 219 2
340 229 2
331 217 1
397 271 1
381 275 1
309 227 1
367 256 1
397 253 3
386 265 1
306 283 2
319 224 3
328 271 2
332 229 3
303 219 1
370 268 1
308 215 2
340 249 2
396 223 1
318 245 3
346 251 3
321 255 2
379 288 3
364 228 3
341 250 2
393 200 2
334 264 3
324 214 1
387 256 3
343 291 1
327 265 3
359 236 1
332 251 2
337 228 3
375 207 3
374 221 1
358 295 3
329 237 3
335 293 1
318 228 3
343 211 1
328 229 1
